7
.;.;.;.;29;.;2;13;.;.;4;8;3;.;28;32;.;.;.;38;.;.;.;40;.;.;37;.;.;35;.;.;22;33;25;.;.;9;.;6;.;.;.;10;5;.;47;48;15
.;39;25;18;26;.;.;.;31;7;.;.;.;.;.;8;49;22;.;30;.;14;.;20;.;.;.;35;.;.;.;3;48;.;21;47;4;45;.;19;38;.;.;37;.;.;.;16;.
.;.;.;22;41;10;.;.;37;11;9;.;.;34;.;42;.;19;.;5;.;.;13;18;.;36;.;47;.;44;.;31;30;49;.;29;.;.;46;35;.;25;26;.;.;2;.;39;3
.;48;.;4;42;19;7;.;.;.;43;.;2;35;17;6;25;.;37;40;.;.;.;.;29;.;1;.;.;28;.;.;32;39;41;3;21;31;23;34;27;.;45;46;33;44;.;18;.
.;.;.;44;.;11;.;40;5;.;.;.;.;29;2;47;.;.;.;43;.;.;6;9;33;49;.;48;18;19;8;.;.;23;.;37;.;12;7;.;.;15;.;.;.;.;.;22;25
45;.;.;46;20;.;.;.;.;.;.;.;27;16;15;.;11;35;4;24;.;.;.;30;.;23;.;.;.;.;.;13;.;.;.;42;.;8;.;.;.;.;38;.;12;49;.;.;9
43;.;.;.;5;.;24;.;22;26;.;19;46;41;.;7;.;.;.;29;44;2;.;.;28;38;45;.;34;14;16;.;.;.;36;1;.;33;.;39;.;.;23;40;.;.;6;4;42
26;.;.;.;.;.;.;4;.;21;.;37;40;.;46;14;28;.;.;.;.;.;.;.;.;15;.;.;16;32;.;19;43;35;.;.;.;41;.;.;3;6;.;45;39;1;49;.;20
.;.;.;.;17;.;.;.;.;.;18;10;26;25;.;.;.;.;.;.;.;.;.;29;14;6;.;.;27;.;38;.;46;40;.;5;.;16;.;.;.;.;11;.;47;31;35;2;34
.;18;48;7;.;46;47;3;.;.;.;2;19;.;.;.;45;49;31;12;38;26;22;.;39;5;11;13;30;.;.;.;10;.;9;33;.;.;32;28;14;.;25;.;.;.;.;15;.
15;.;34;.;.;.;.;.;.;46;35;16;30;.;.;.;40;.;.;10;36;.;2;25;.;20;17;27;.;41;.;.;.;31;44;.;.;42;11;8;.;.;33;48;19;.;.;.;5
.;41;33;21;.;.;49;.;.;14;.;47;.;.;32;37;34;44;.;.;.;30;16;23;.;.;.;18;.;.;.;39;.;.;.;.;.;.;.;.;4;.;.;36;3;.;.;12;38
6;.;.;.;.;3;19;.;13;.;34;.;.;.;.;.;.;2;.;.;.;44;33;.;10;.;.;.;36;.;20;37;24;4;.;.;40;.;.;.;.;.;.;30;.;32;.;.;14
